name,prompt,negative_prompt
Faded Film Scan [Faded Colors],"Style and tones: faded Soviet color film scan, with warm brown midtones, a slight magenta drift in the darker areas, and washed low contrast; hues aged and muted, not removed; fine even grain, full-frame.","a white border, photo frame, or mounted print edge around the image"
Aged Soviet Print [Violet-Brown Fade],"Style and tones: aged Soviet color film, with a slight violet-magenta shadow shift, warm brown-ochre midtones, slightly washed contrast with dusty violet blacks, and fine even grain; the image fills the frame edge to edge.","a white border, photo frame, or mounted print edge around the image"
Soviet Snapshot [Zenit & Ordinary Life],"Style and tones: amateur Soviet 35mm color, with a muted green-gray palette, weak blacks, and visible grain.",
Svema CO-32D [Magenta Cast & Weak Blacks],"Style and tones: Svema CO-32D color reversal, with a strong magenta-red cast over the whole frame, warm ochre-yellow midtones, weak violet-tinted blacks with no true black, desaturated darkened greens leaning muddy brown, weak teal-leaning blues, pinkish-cream whites, moderate-to-low contrast, and fine grain.",
Svema CO-32D [Warm & Full Color],"Style and tones: well-preserved Svema CO-32D color reversal, with a moderate warm-magenta cast in the neutrals and ground, saturated surviving greens, strong reds, full yellows and blues, ruddy warm skin, moderate contrast with present blacks, and fine grain.",
Svema CO-32D [Blue-Violet Fade],"Style and tones: Svema CO-32D color reversal film, with a cold blue-violet cast over the whole frame, greens and yellows nearly gone, the palette emphasizing violet, lavender and slate, warm tones surviving as faint pink-orange traces, slightly faded look with a hint of milky violet contaminating the blacks, veiled hazy highlights, rich darker midtones, and fine grain.",
Svema CO-32D [Cyan Haze & Milky Veil],"Style and tones: hazy Svema CO-32D color reversal, with a cool cyan-green cast, a slight milky low-contrast veil over the whole frame, lifted weak blacks reading as gray, slightly muted saturation with warm skin tones surviving, and fine grain.",
Svema CO-2 [Warm Red & Crimson],"Style and tones: well-preserved Svema CO-2 color reversal, with subtle warm-magenta cast in the neutrals and ground, a hint of pronounced shades of red and crimson, full yellows and blues, and fine grain.",
Svema CO-2 [Reds & Natural Skin],"Style and tones: well-preserved Svema CO-2 color reversal, with a moderate cold-magenta cast in the neutrals and ground, pronounced shades of red and crimson, full yellows and blues, perfectly natural skin, and fine grain.",
Svema CO-2 [Cold Reds & Crimsons],"Style and tones: well-preserved Svema CO-2 color reversal, with a moderate cold-magenta cast in the neutrals and ground, emphasized cold shades of red and crimson, full yellows and blues, perfectly natural skin, and fine grain.",
Svema CO-2 [Summer & Warm Balanced],"Style and tones: Svema CO-2 color reversal, with fairly natural color, a mild warm-neutral cast, slightly muted saturation, surviving greens and warm browns, moderate contrast, and present blacks.",
Svema CO-2 [Winter & Cold Blue & Rust],"Style and tones: Svema CO-2 color reversal, with a cold blue-cyan cast, dark low exposure, deep blue-black shadows, and warm brick-red and rust tones surviving in the midtones against the cold surround.",
ORWO Orwochrom UT18 [Crossed Teal & Magenta],"Style and tones: ORWO Orwochrom UT18 color reversal, with a crossed color balance, cool teal-cyan shadows and road surfaces, warm magenta-pink highlights and sky, saturated orange-brown earth tones, ruddy warm skin, firm contrast with deep blacks, and fine grain.",
[ DDR Film ],__film/styles/ddr-film__,
ORWO NP20 [Sharp DDR B&W],"Style and tones: ORWO NP20 black-and-white, with wide tonal latitude, gentle midtone gradation, retained shadow and highlight detail, and fine grain.",
ORWO UN54 [Newsreel Panchromatic],"Style and tones: ORWO UN54 panchromatic black-and-white, with wide latitude, slightly compressed midtone contrast, and moderate grain.",
Orwocolor Negative [Muted & Tinted],"Style and tones: East German Orwocolor negative, with a washed low-saturation palette, subdued dusty reds, a faint greenish-orange bias, and soft flat contrast.",
Orwochrom Slide [Faded & Off],"Style and tones: East German Orwochrom slide, with thin gray-reading blacks, a muddy green-orange lean, dull blues, and soft low contrast.",
Wolfen NC500 [Green & Orange Cinematic],"Style and tones: Wolfen NC500, with a desaturated cool-leaning palette of muted greens and warm oranges, subdued shadow detail, restrained contrast, and notable grain.",
DDR Agfacolor Heritage [Pastel Subdued Reds],"Style and tones: early East German Agfacolor, with gentle pastel colors, subdued softened reds, smooth restrained contrast, and fine grain.",
Aged DDR Photo [Green-Shift Fade],"Style and tones: aged East German color negative, with an olive-green shift in shadows and midtones, faded dusty orange highlights, washed low contrast with foggy pale blacks, and fine grain; the image fills the frame edge to edge.","a white border, photo frame, or mounted print edge around the image"
DDR Amateur Snapshot [Everyday Praktica],"Style and tones: amateur East German 35mm color, with a faint greenish cast, weak blacks, and visible grain.",
[ Decades ],__film/styles/decades__,
1920s Pictorialism [Soft & Painterly],"Era: 1920s Pictorialist, softened monochrome with a warm platinum tone, diffused light, and a painterly softness.",
1920s Modernist [Sharp & Geometric],"Era: 1920s modernist, crisp black-and-white, geometric composition, diagonals, and angular shadows.",
1920s Autochrome [Early Color & Pastel Grain],"Era: early Autochrome color, muted pastel colors, fine grain, soft luminous light, and a slight highlight bloom.",
1930s Documentary [Dust Bowl B&W],"Era: 1930s documentary black-and-white, natural daylight, weathered textures, and full tonal detail.",
1930s Hollywood Glamour [Dramatic Portrait],"Era: 1930s Hollywood glamour, luminous black-and-white, sculpted key light, deep shadows, and a glowing complexion.",
1940s Film Noir [Hard Shadows],"Era: 1940s film noir, low-key black-and-white, long hard shadows, light through blinds, and deep blacks.",
1940s War Photojournalism [Gritty B&W],"Era: 1940s war photojournalism, grainy black-and-white, raised contrast, and close framing.",
1950s Kodachrome Americana [Saturated Nostalgia],"Era: 1950s Kodachrome Americana, warm saturated reds, sunlit tones, dense blacks, and fine grain.",
1950s Street Photography [Candid B&W],"Era: 1950s street black-and-white, available light, balanced framing, and modest grain.",
1950s Advertising [Cheerful Staged],"Era: 1950s color advertising, even lighting, bright clean colors, and a staged domestic scene.",
1960s Fashion Editorial [Mod & Bold],"Era: 1960s mod fashion, graphic minimal backgrounds, energetic poses, and simple color blocking.",
1960s Psychedelic [Vivid Surreal],"Era: 1960s psychedelic, shifted cross-processed colors, mild optical distortion, and occasional lens flares.",
1970s New Color [Mundane & Eggleston],"Era: 1970s New Color, saturated dye-transfer color with notable reds, mundane subject matter, and warm ambient light.",
1970s Faded Snapshot [Warm & Washed],"Era: 1970s faded snapshot, a warm yellow-orange drift, lowered contrast, visible grain, and slight vignetting.",
1970s Rock Photography [Stage Light & Grain],"Era: 1970s rock concert, grainy pushed film, colored stage light through haze, and dark backgrounds.",
1980s Studio Glamour [Glossy & Airbrushed],"Era: 1980s glamour, glossy saturated color, a directional key light with soft fill, and a slight diffusion sheen.",
1980s Neon Night [City Lights],"Era: 1980s neon night, pink, cyan and orange neon, wet reflective streets, dark blue skies, and film grain.",
1980s Mall Portrait [Studio Backdrop & Kitsch],"Era: 1980s mall-studio portrait, a painted or laser-grid backdrop, flat even flash, and saturated consumer-film color.",
1990s Grunge Editorial [Raw & Desaturated],"Era: 1990s grunge editorial, desaturated moody color, window or bare-bulb light, and visible grain.",
1990s Disposable Camera [Harsh Flash Snapshot],"Era: 1990s disposable camera, direct flash, a dark falloff background, a slight green shift, and visible grain.",
1990s Music Video Look [Cross-Processed & Cool],"Era: 1990s cross-processed, slightly shifted cyan-green skin tones, teal shadows, and visible grain.",
2000s Early Digicam [CCD & Harsh Flash],"Era: early-2000s compact digicam, a low-resolution CCD look, slightly elevated color, direct flash, a quick dark falloff, and mild noise.",
2000s Y2K Aesthetic [Glossy & Futuristic],"Era: Y2K, high-key light with a faint cool blue-silver cast, a slight highlight bloom, and a light commercial polish.","a muted, grainy vintage film photograph with faded colors and a nostalgic analog look"
2000s Paparazzi Flash [Tabloid Candid],"Era: 2000s paparazzi, a candid subject caught mid-motion by direct night flash, flat frontal light, slightly bright highlights, and a dark urban background.",
2000s Indie Sleaze [Grimy Party Flash],"Era: late-2000s indie sleaze, direct-flash nightlife, elevated reds and greens, dark murky shadows, and cluttered framing.",
2010s Instagram Fade [Matte & Warm],"Era: early-2010s filtered social photo, warm faded matte tones, lifted blacks, a soft peach-and-teal wash, and mild vignetting.",
2010s VSCO Minimalism [Airy & Desaturated],"Era: 2010s VSCO lifestyle, airy desaturated pastels, soft window light, muted greens and creamy skin tones, and a light grain.",a garish oversaturated photograph with harsh flash lighting and heavy HDR processing
2010s HDR Landscape [High Dynamic Range],"Era: 2010s HDR, high dynamic range, fine detail held everywhere, and a polished digital look.",
2010s Teal and Orange [Cinematic Grade],"Era: 2010s cinematic grade, cool cyan shadows against warm skin tones, out of focus background, and a moody film-still look.",
2010s Drone Aerial [Top-Down & Graphic],"Era: 2010s drone aerial, a top-down or high-oblique view, crisp detail, clean color, and long shadows adding depth.",
2020s Clean Mirrorless [Sharp & Natural],"Era: 2020s mirrorless, sharp rendering, creamy out of focus background, accurate natural color, soft highlight roll-off, and subtle contrast.","a degraded vintage photograph with heavy grain, color casts, light leaks, and soft focus"
2020s Golden Hour Lifestyle [Backlit & Warm Haze],"Era: 2020s golden-hour lifestyle, warm low-sun backlighting with a rim of light, gentle flare and slight haze, honeyed skin tones, and soft bokeh.",
2020s Film Revival [Digital-Era Analog],"Era: 2020s film revival, a contemporary scene on 35mm color negative, fine grain, gentle highlight halation, slightly muted color, and relaxed candid framing.",
2020s Blurry Authenticity [Motion & Lo-Fi],"Era: 2020s deliberately imperfect, slight intentional motion blur, a spontaneous mid-moment frame, flash mixed with ambient smear, and off-kilter framing.",
[ Digital Snapshots ],__film/styles/digital-snapshots__,
Phone Snapshot [Candid & Deep Focus],"Style: casual smartphone snapshot, everything in focus with deep phone-sensor depth of field, flat auto-HDR exposure, a slightly tilted horizon, and loose framing that clips the edges.",
Phone Snapshot [Night & Flash],"Style: night phone snapshot with the built-in flash, the subject slightly overexposed against a quick dark falloff, flat frontal light, everything in focus, and crooked framing.",
Front Camera Selfie [Arm's Length],"Style: arm's-length front-camera selfie, the face large and slightly wide-angle, a raised shoulder in frame, a high downward angle, everything in focus, and a tilted horizon.",
Fisheye Selfie [0.5x Ultrawide],"Style: 0.5x ultra-wide selfie, fisheye barrel distortion curving the edges, the face slightly bulged, surroundings warping outward, and everything in focus.",
Mirror Selfie [Phone Visible],"Style: casual mirror selfie, the phone visible in hand near the face, flat indoor light, everything in focus, a cluttered reflected room, and slightly tilted framing.",
Tourist Snapshot [Rushed & Clipped],"Style: rushed tourist phone snapshot, a tilted horizon, passersby with limbs clipped at the edges, everything in deep focus, and flat midday exposure.",
Table Food Snap [Overhead & Casual],"Style: casual phone food snapshot, a slightly-off overhead angle, mixed indoor light with a mild cast, the plate and cutlery partly cropped, and everything in focus.",
[ Flash Photography ],__film/styles/flash-photography__,
Direct Flash [Hard & Frontal],"Lighting: direct on-camera flash, hard frontal light, a crisp shadow behind the subject, quick falloff, and slightly specular highlights.",
Amateur Flash [Careless Snapshot],"Lighting: amateur built-in flash straight at the subject, slightly blown nearest highlights, a dark falloff background, and hasty framing that clips the edges.",
Surprise Flash [Startled & Caught],"Lighting: a sudden flash catching the subject off guard, wide eyes and a frozen mid-reaction, hard frontal light with a crisp shadow behind, and dark surroundings.",
Party Flash [Close & Chaotic],"Lighting: close-range party flash, the subject at arm's length under hard flash, glossy highlights, motion smear in the dim edges, and other people clipped at the frame edges.",
Flash at Dusk [Lit Subject & Blue World],"Lighting: flash at dusk, the subject crisply lit and popping forward from a deep twilight-blue underexposed background, with cool sky tones.",
Ring Flash Editorial [Shadowless & Glossy],"Lighting: ring flash, even shadowless frontal light, a thin halo shadow tracing the subject, glossy round catchlights, and flat saturated color.",
Flash Through Crowd [Obstructed & Urgent],"Lighting: flash forced through a crowd, the subject lit in the middle distance, dark half-lit heads and hands intruding at the foreground edges, and flash catching haze in the air.",
[ The Misc Bin ],__film/styles/the-misc-bin__,
CCTV Security [Overhead & Surveillance],"Style: security-camera frame, a high fixed corner viewpoint looking down, wide-angle mild distortion, flat washed-out contrast, muted desaturated color, and a small corner timestamp.",
Dashcam [Windshield & Wide],"Style: dashcam still, a wide view through a windshield with the hood edge at the bottom, slightly curved wide-lens geometry, and flat automatic exposure.",
Trail Camera [IR Night & Wildlife],"Style: nighttime trail-camera capture, monochrome infrared brightest at center and falling off at the edges, glowing eye reflections, and a fixed low angle.",
GoPro Action [Ultra-Wide POV],"Style: action-camera shot, an ultra-wide first-person view with fisheye edge curvature, foreground gear or an arm, everything in focus, and bright outdoor exposure.",
Underwater Disposable [Murky Flash],"Style: underwater disposable-camera photo, a green-blue murky cast deepening with distance, suspended particles lit by a small flash, and soft hazy contrast fading to teal.",
VHS Camcorder Still [Scanlines & Smeared],"Style: paused VHS frame, a soft low-resolution video texture with horizontal scanlines, bleeding saturated reds, slight color fringing, and washed-out highlights.",
2000s Webcam [Low-Res & Indoor],"Style: early webcam capture, a soft low-resolution image lit by monitor glow, muddy color with a slight magenta or green cast, and a fixed desk-level upward angle.",
Tilt-Shift Miniature [Toy World],"Style: tilt-shift miniature, a high vantage with a narrow band of sharp focus and smooth blur above and below, raised saturation and contrast, and a toy-model look.",
Holga Toy Camera [Lo-Fi Vignette],"Style: Holga toy camera, dark corner vignetting, a soft plastic-lens center sharpness, occasional light leaks, and saturated shifted medium-format color.",
Kodak Aerochrome [Infrared Pink],"Style: Kodak Aerochrome infrared, green foliage rendered pink to red, deep cyan-blue skies, dark water, and fine grain.",
Wet Plate Collodion [1800s & Silvery],"Style: wet plate collodion, a silvery monochrome plate with swirling shallow focus falloff, chemical streaks and drips at the edges, and pale skies.",
Daguerreotype [Mirror Plate],"Style: daguerreotype, a finely detailed mirror-like silver plate, a delicate tonal shimmer, soft edge vignetting, and a formal long-exposure stillness.",
Cyanotype [Prussian Blue],"Style: cyanotype, the whole image in Prussian blue and white, soft contact-print contrast, visible paper texture, and brushed emulsion edges.",
Double Exposure [Layered & Ghostly],"Style: in-camera double exposure, two scenes overlapping translucently, the brighter areas ghosting through the shadows of the other, and film grain unifying both.",
Flatbed Scan [Scanography & Pressed],"Style: flatbed scanography, the subject pressed to the glass, sharp where it touches and falling into a black shallow-depth void, and even shadowless scanner light.",
Passport Photo [Flat & Bureaucratic],"Style: passport photo, a head-and-shoulders subject facing dead-on, a plain uniform background, flat shadowless light, centered framing, and everything in focus.",
[ Lighting ],__film/styles/lighting__,
Rim Light [Glowing Edge],"Lighting: rim light behind the subject tracing a glowing contour, the front in soft shadow, and clean separation from a darker surrounding.",
Chiaroscuro [Deep Shadow Drama],"Lighting: chiaroscuro, one directional light carving the subject from deep darkness, a slow tonal turn, and rich dark tones filling most of the frame.",
Extreme Chiaroscuro [Pitch Black & Stark],"Lighting: high-contrast chiaroscuro, one hard light on the subject while the rest falls to pitch black with no detail or gradation, an abrupt lit-to-unlit boundary, and minimal fill.","soft gray shadows, gentle gradation, visible shadow detail, and ambient fill light"
Sculpting Light [Contours & Folds],"Lighting: low-angled sculpting light skimming the subject so each curve, fold and crease casts a small soft shadow, with tactile relief and gentle falloff.",
Soft Diffused Light [Gentle & Wrapping],"Lighting: large soft diffused light wrapping the subject, feathered soft-edged shadows, smooth tonal transitions, and gentle highlight roll-off.",
Split Light [Half in Shadow],"Lighting: hard light from one side only, the near cheek and shoulder lit while the far side of the same subject sinks into shadow, the edge following the subject's own contour, not the edge of the photo.","a photo split into two halves, a bisected or split-screen composition, or two panels side by side"
Raking Texture Light [Grazing & Tactile],"Lighting: raking light grazing across surfaces at a shallow angle, every ridge and thread casting a long micro-shadow, and deep shadow pooling in the recesses.",
Silhouette Backlight [Dark Shape & Bright Ground],"Lighting: backlit silhouette, the subject a dark shape against a brighter luminous background, a clean readable outline, and perhaps a thin bright edge fringe.",
Dappled Light [Broken Patterns],"Lighting: dappled light broken into patches, as if through leaves or blinds, alternating warm pools and soft shadow, with high local contrast in a gentle overall exposure.",
[ Composition ],__film/styles/composition__,
Rule of Thirds [Classic Balance],"Composition: rule of thirds, the subject off-center on a third-line, the horizon on a third, and breathing room ahead of the subject.",
Central Symmetry [Formal & Frontal],"Composition: central symmetry, the subject dead center, mirrored left and right halves, upright verticals, and a formal stillness.",
Asymmetric Balance [Weighted Tension],"Composition: asymmetric balance, a large element on one side counterweighted by a smaller one across generous uneven space.",
Dynamic Diagonal [Energy & Motion],"Composition: diagonal, the main lines running corner to corner, the subject on a tilted axis, and a slight camera cant adding momentum.",
Tight Crop [Fragment & Intimate],"Composition: tight crop, the frame cutting into the subject so only a fragment fills it, edges slicing through forms, and no surrounding context.",
Frame Within Frame [Nested View],"Composition: a frame within a frame, the subject seen through a doorway, window or arch that borders the image, with layered depth.",
Layered Depth [Foreground & Midground & Distance],"Composition: layered depth, a foreground element at the edge, the subject in the midground, and a receding background behind.",
Dutch Angle [Tilted Unease],"Composition: Dutch angle, the whole frame rotated so horizon and verticals lean to one side, and the subject held askew.",
[ Camera position & optics ],__film/styles/camera-position-optics__,
Low Angle [Looking Up & Heroic],"Composition: viewed from below, low-angle shot, the subject towering, and converging verticals rising through the frame.",
High Angle [Looking Down & Diminished],"Composition: viewed from above, high-angle shot looking down, the ground filling the background, and the subject appearing smaller.",
Overhead Top-Down [Flat Lay & Graphic],"Composition: directly overhead, a straight-down top-down view, no horizon, and a flat graphic two-dimensional arrangement.",
Worm's Eye [Ground Level & Extreme],"Composition: a worm's-eye view at ground level, foreground texture looming close, and the subject rising steeply with strong upward convergence.",
Telephoto Compression [Stacked & Flattened],"Composition: a long telephoto from far away, compressed perspective, distant planes stacked close behind the subject, and flattened depth.",
Wide-Angle Proximity [Close & Stretched],"Composition: a wide-angle lens from very close, near parts enlarged and gently stretched, the background sweeping away small, and edges pulling outward.",
Macro Distance [Tiny World & Huge],"Composition: macro distance, a small subject filling the frame at high magnification, a thin plane of focus, out of focus background, and fine surface detail.",
Shoulder-Level Candid [Human Height & Present],"Composition: a shoulder-height view at conversational distance, a natural human vantage, and a modest honest perspective.",
[ Color & tonality ],__film/styles/color-tonality__,
Muted Earth Tones [Subdued & Organic],"Color: muted earth tones, a restrained ochre, olive, clay and brown palette, gentle contrast, and dusty khaki greens.",
High-Key [Bright & Weightless],"Color: high-key, the tonal range lifted toward bright whites, thin pale shadows, and delicate low contrast.",
Low-Key [Dark & Reticent],"Color: low-key, deep blacks and dark tones dominating, only select surfaces lit, and rich shadow detail sinking into darkness.",
Monochrome Duotone [Two-Tone & Graphic],"Color: duotone, only two colors, shadows in one deep hue and highlights in a contrasting tone, with smooth gradients between.",
Bleach Bypass [Desaturated & Harsh],"Color: bleach bypass, desaturated with only faint hue, raised contrast, chalky highlights, gritty shadows, and a silvery metallic cast.",
Pastel Wash [Faded & Tender],"Color: pastel wash, colors diluted toward powdery pinks and milky blues, low contrast, and lifted hazy blacks.",
Golden Warmth [Amber & Honeyed],"Color: golden warmth, amber and honey tones over the frame, cream whites, warm brown shadows, and gently boosted yellows.",
Cold Steel [Blue-Gray & Distant],"Color: cold, a steely blue-gray cast, icy whites, warm materials drained toward neutral, and slate-teal shadows.",
[ Atmosphere ],__film/styles/atmosphere__,
Dense Fog [Vanishing & Soft],"Atmosphere: dense fog, the subject half-dissolved in pale gray-white murk, contrast collapsing with distance, and cool desaturated color.",
Light Haze [Milky Depth],"Atmosphere: light haze, distant planes paler and milkier than the foreground, a gentle bloom around bright areas, and slightly lifted blacks.",
Rain [Wet & Streaked],"Atmosphere: falling rain, thin streaks against darker areas, wet glistening surfaces, mirror-like puddles, and overcast dim light.",
Dust in Light [Particles & Shafts],"Atmosphere: fine dust in the air, visible light shafts through the particles, drifting motes catching the light, and a bloom around bright areas.",
Heat Shimmer [Wavering & Scorched],"Atmosphere: heat shimmer, the air above hot surfaces rippling and distorting the background, bleached light, and pale scorched color.",
Snowfall [Drifting Flakes & Hushed],"Atmosphere: falling snow, soft flakes drifting through the air, a fresh white layer gathering, and muted gray-white light.",
Smoke and Mist [Curling & Theatrical],"Atmosphere: drifting smoke and mist, curling translucent layers between viewer and subject, light scattering into soft glowing pockets, and partial concealment of forms.",
[ Moment & motion ],__film/styles/moment-motion__,
Frozen Instant [Split-Second & Crisp],"Composition: a frozen split-second, fast motion arrested crisply, droplets or hair suspended mid-air, and no motion blur.",
Long Exposure [Smeared Time],"Composition: long exposure, moving elements smeared into soft translucent trails, water blurred to silk, light drawn into ribbons, while still elements stay sharp.",
Panning Motion [Sharp Subject & Streaked World],"Composition: panning, the moving subject kept sharp while the background streaks into horizontal motion blur, giving a sense of speed.",
Mid-Gesture Candid [Unposed & Between],"Composition: dynamic, mid-motion, the subject caught between actions, a hand half-raised or weight shifting mid-step, and unposed timing.",
Motion Blur Subject [Ghosted Movement],"Composition: the moving subject smeared into a translucent ghost while the scene stays sharp, edges trailing into the space it passed through.",
[ Focus & depth ],__film/styles/focus-depth__,
Shallow Focus [Isolated & Creamy],"Focus: shallow depth of field, a thin plane of the subject sharp, out of focus background melting into creamy blur, and the subject lifted from its surroundings.",
Deep Focus [Everything Sharp],"Focus: deep depth of field, every plane sharp from foreground to distance, and no blur separating subject from surroundings.",
Soft Focus Bloom [Diffused & Dreamy],"Focus: gentle soft focus, fine detail diffused into a delicate glow, highlights blooming softly, and lowered contrast.",
